Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
1674,American Decorative Arts,Side Chair,Side Chair,American,,1794,1799.0,"Mahogany, ebony, ash, birch, white pine","Friends of the American Wing Fund, 1962",United States
2430,American Decorative Arts,Pitcher,Covered Pitcher,American,,1700,1900.0,Earthenware,"Rogers Fund, 1913",United States
6406,American Decorative Arts,Plate,Plate,Dutch,,1740,1760.0,Earthenware,"Rogers Fund, 1933",Netherlands
7616,American Decorative Arts,Soup bowl,Soup Bowl,American,,1885,1885.0,Porcelain,"Gift of Mr. and Mrs. Franklin Chace, 1969",United States
15012,American Decorative Arts,"Painting, miniature",Portrait of a Lady,American,,1840,1840.0,Watercolor on ivory,"Fletcher Fund, 2006",
23510,Arms and Armor,Arrowhead (Yanonē),Arrowhead (Yanonē),Japanese,,1701,1800.0,Steel,"The Collection of Giovanni P. Morosini, presented by his daughter Giulia, 1932",
29920,Arms and Armor,Knife handle (Kozuka),Knife Handle (Kozuka),Japanese,,1770,1852.0,"Copper-gold alloy (shakudō), copper-silver alloy (shibuichi), gold","The Howard Mansfield Collection, Gift of Howard Mansfield, 1936",
32848,Arms and Armor,Coin (Thaler),Coin (Thaler) Showing August I (The Pious) of Saxony,German,,1580,1580.0,Silver,"Gift of Bashford Dean, 1923",
34014,Arms and Armor,Two drawings,Drawings Showing Combat on Foot (Champ Clos),German,,1501,1600.0,"Pen, ink and watercolor on paper","Bashford Dean Memorial Collection, Funds from various donors, 1929",
34308,Arms and Armor,Partisan,Partisan,German,,1701,1800.0,"Steel, wood, textile, metallic thread","Bashford Dean Memorial Collection, Gift of Edward S. Harkness, 1929",
34477,Arms and Armor,Sword guard (Tsuba),Sword Guard (Tsuba),Japanese,,1590,1900.0,"Iron, gold, silver, copper","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",
35163,Arms and Armor,Dirk with sheath,Dirk with Sheath,possibly Spanish,,1800,1850.0,"Steel, horn, brass, leather, copper wire","Gift of Rutherfurd Stuyvesant, 1891",
72803,Asian Art,Hanging scroll,近代  蟬竹圖      軸|Bamboo and Cicada,China,Chinese,1966,1966.0,Hanging scroll; ink and color on paper,"The Lin Yutang Family Collection, Gift of Richard M. Lai, Jill Lai Miller, and Larry C. Lai, in memory of Taiyi Lin Lai, 2005",
80735,Costume Institute,Belt,Belt,Japanese,Japanese|Japanese,1983,1987.0,"leather, metal","Gift of Linda A. Rosenthal, 1993",
81291,Costume Institute,Pumps,Pumps,British,British,1980,1989.0,leather,"Gift of Holly Solomon, 1999",
81451,Costume Institute,Evening dress,Evening dress,American,American|American,1983,1984.0,rayon,"Gift of Calvin Klein, Inc., 1998",
83780,Costume Institute,Shoes,Shoes,Italian,Italian,1983,1989.0,synthetic,"Gift of Muriel Kallis Newman, 2002",
